,property,propertyLabel
401,http://dbpedia.org/property/operator,operator
402,http://dbpedia.org/property/owner,owner
403,http://dbpedia.org/property/populationAsOf,population as of
404,http://dbpedia.org/property/populationDensityKm,population density km
405,http://dbpedia.org/property/populationTotal,population total
406,http://dbpedia.org/property/postalCodeType,postal code type
407,http://dbpedia.org/property/prevTitle,prev title
408,http://dbpedia.org/property/prevYear,prev year
409,http://dbpedia.org/property/pushpinLabel,pushpin label
410,http://dbpedia.org/property/pushpinMap,pushpin map
411,http://dbpedia.org/property/pushpinMapCaption,pushpin map caption
412,http://dbpedia.org/property/r1Number,r1-number
413,http://dbpedia.org/property/r1Surface,r1-surface
414,http://dbpedia.org/property/schedule,schedule
415,http://dbpedia.org/property/settlementType,settlement type
416,http://dbpedia.org/property/sort,sort
417,http://dbpedia.org/property/startDate,start date
418,http://dbpedia.org/property/subcat,subcat
419,http://dbpedia.org/property/subdivisionName,subdivision name
420,http://dbpedia.org/property/subdivisionType,subdivision type
421,http://dbpedia.org/property/timezone,timezone
422,http://dbpedia.org/property/timezoneDst,timezone DST
423,http://dbpedia.org/property/titles,titles
424,http://dbpedia.org/property/unitPref,unit pref
425,http://dbpedia.org/property/utcOffset,utc offset
426,http://dbpedia.org/property/utcOffsetDst,utc offset DST
427,http://dbpedia.org/property/veneratedIn,venerated in
428,http://dbpedia.org/property/video,video
429,http://dbpedia.org/property/writers,writers
430,http://dbpedia.org/property/occupants,occupants
431,http://dbpedia.org/property/ownership,ownership
432,http://dbpedia.org/property/areaLandKm,area land km
433,http://dbpedia.org/property/areaLandSqMi,area land sq mi
434,http://dbpedia.org/property/areaTotalSqMi,area total sq mi
435,http://dbpedia.org/property/areaWaterKm,area water km
436,http://dbpedia.org/property/areaWaterPercent,area water percent
437,http://dbpedia.org/property/areaWaterSqMi,area water sq mi
438,http://dbpedia.org/property/attributes,attributes
439,http://dbpedia.org/property/blankInfo,blank info
440,http://dbpedia.org/property/controlledby,controlledby
441,http://dbpedia.org/property/faa,FAA
442,http://dbpedia.org/property/iata,IATA
443,http://dbpedia.org/property/icao,ICAO
444,http://dbpedia.org/property/nearestTown,nearest town
445,http://dbpedia.org/property/patronage,patronage
446,http://dbpedia.org/property/populationDensitySqMi,population density sq mi
447,http://dbpedia.org/property/rps,rps
448,http://dbpedia.org/ontology/areaLand,area land (m2)
449,http://dbpedia.org/ontology/areaWater,area water (m2)
450,http://dbpedia.org/ontology/percentageOfAreaWater,percentage of area water
451,http://www.georss.org/georss/point,
452,http://dbpedia.org/ontology/PopulatedPlace/areaTotal,area total (km2)
453,http://dbpedia.org/ontology/PopulatedPlace/populationDensity,population density (/sqkm)
454,http://dbpedia.org/ontology/veneratedIn,venerated in
455,http://dbpedia.org/ontology/areaTotal,area total (m2)
456,http://dbpedia.org/ontology/buildingEndDate,building end date
457,http://dbpedia.org/ontology/buildingStartDate,building start date
458,http://dbpedia.org/ontology/elevation,elevation (μ)
459,http://dbpedia.org/ontology/populationDensity,population density (/sqkm)
460,http://dbpedia.org/ontology/populationTotal,population total
461,http://dbpedia.org/ontology/title,title
462,http://dbpedia.org/ontology/utcOffset,UTC offset
463,http://dbpedia.org/ontology/demolitionDate,demolition date
464,http://dbpedia.org/ontology/album,album
465,http://dbpedia.org/ontology/artist,performer
466,http://dbpedia.org/ontology/division,division
467,http://dbpedia.org/ontology/keyPerson,key person
468,http://dbpedia.org/ontology/locationCity,location city
469,http://dbpedia.org/ontology/owner,owner
470,http://dbpedia.org/ontology/previousWork,previous work
471,http://dbpedia.org/ontology/soundRecording,sound recording
472,http://dbpedia.org/ontology/subdivision,subdivision
473,http://dbpedia.org/ontology/timeZone,time zone
474,http://www.w3.org/2003/01/geo/wgs84_pos#geometry,
475,http://dbpedia.org/ontology/deathPlace,death place
476,http://dbpedia.org/property/deathPlace,death place
477,http://dbpedia.org/property/valign,valign
478,http://dbpedia.org/property/aux,aux
479,http://dbpedia.org/property/majorShrine,major shrine
480,http://dbpedia.org/property/restingPlace,resting place
481,http://dbpedia.org/property/after,after
482,http://dbpedia.org/property/airdate,airdate
483,http://dbpedia.org/property/aka,aka
484,http://dbpedia.org/property/allWriting,all writing
485,http://dbpedia.org/property/arcadeSystem,arcade system
486,http://dbpedia.org/property/aux4t,aux4T
487,http://dbpedia.org/property/awards,awards
488,http://dbpedia.org/property/before,before
489,http://dbpedia.org/property/color,color
490,http://dbpedia.org/property/end,end
491,http://dbpedia.org/property/episodes,episodes
492,http://dbpedia.org/property/extra,extra
493,http://dbpedia.org/property/extraColumn,extra column
494,http://dbpedia.org/property/footerAlign,footer align
495,http://dbpedia.org/property/honorificPrefix,honorific prefix
496,http://dbpedia.org/property/illustrator,illustrator
497,http://dbpedia.org/property/isbn,isbn
498,http://dbpedia.org/property/label,label
499,http://dbpedia.org/property/link,link
500,http://dbpedia.org/property/misc,misc
501,http://dbpedia.org/property/notableworks,notableworks
502,http://dbpedia.org/property/note,note
503,http://dbpedia.org/property/overall,overall
504,http://dbpedia.org/property/period,period
505,http://dbpedia.org/property/portal,portal
506,http://dbpedia.org/property/recorded,recorded
507,http://dbpedia.org/property/relatives,relatives
508,http://dbpedia.org/property/rev11score,rev11Score
509,http://dbpedia.org/property/rev5score,rev5Score
510,http://dbpedia.org/property/rev6score,rev6Score
511,http://dbpedia.org/property/status,status
512,http://dbpedia.org/property/studio,studio
513,http://dbpedia.org/property/titleWidth,title width
514,http://dbpedia.org/property/totalLength,total length
515,http://dbpedia.org/property/venue,venue
516,http://dbpedia.org/property/hc,HC
517,http://dbpedia.org/property/js,JS
518,http://dbpedia.org/property/po,PO
519,http://dbpedia.org/property/125ActiveYears,125 Active years
520,http://dbpedia.org/property/125Championships,125 Championships
521,http://dbpedia.org/property/125FastestLaps,125 Fastest laps
522,http://dbpedia.org/property/125LastPosition,125 Last position
523,http://dbpedia.org/property/125LastSeason,125 Last season
524,http://dbpedia.org/property/125Manufacturers,125 Manufacturers
525,http://dbpedia.org/property/125Podiums,125 Podiums
526,http://dbpedia.org/property/125Poles,125 Poles
527,http://dbpedia.org/property/125RaceStarts,125 Race Starts
528,http://dbpedia.org/property/125RaceWins,125 Race Wins
529,http://dbpedia.org/property/125TotalPoints,125 Total Points
530,http://dbpedia.org/property/2014a,2014a
531,http://dbpedia.org/property/2014b,2014b
532,http://dbpedia.org/property/2015a,2015a
533,http://dbpedia.org/property/2015b,2015b
534,http://dbpedia.org/property/2016a,2016a
535,http://dbpedia.org/property/2016b,2016b
536,http://dbpedia.org/property/250ActiveYears,250 Active years
537,http://dbpedia.org/property/250Championships,250 Championships
538,http://dbpedia.org/property/250FastestLaps,250 Fastest laps
539,http://dbpedia.org/property/250LastPosition,250 Last position
540,http://dbpedia.org/property/250LastSeason,250 Last season
541,http://dbpedia.org/property/250Manufacturers,250 Manufacturers
542,http://dbpedia.org/property/250Podiums,250 Podiums
543,http://dbpedia.org/property/250Poles,250 Poles
544,http://dbpedia.org/property/250RaceStarts,250 Race Starts
545,http://dbpedia.org/property/250RaceWins,250 Race Wins
546,http://dbpedia.org/property/250TotalPoints,250 Total Points
547,http://dbpedia.org/property/agent,agent
548,http://dbpedia.org/property/asm,ASM
549,http://dbpedia.org/property/cvg,CVG
550,http://dbpedia.org/property/mic,MIC
551,http://dbpedia.org/property/motogpActiveYears,MotoGP Active years
552,http://dbpedia.org/property/motogpChampionships,MotoGP Championships
553,http://dbpedia.org/property/motogpFastestLaps,MotoGP Fastest laps
554,http://dbpedia.org/property/motogpLastPosition,MotoGP Last position
555,http://dbpedia.org/property/motogpLastSeason,MotoGP Last season
556,http://dbpedia.org/property/motogpManufacturers,MotoGP Manufacturers
557,http://dbpedia.org/property/motogpPodiums,MotoGP Podiums
558,http://dbpedia.org/property/motogpPoles,MotoGP Poles
559,http://dbpedia.org/property/motogpRaceStarts,MotoGP Race Starts
560,http://dbpedia.org/property/motogpRaceWins,MotoGP Race Wins
561,http://dbpedia.org/property/motogpTotalPoints,MotoGP Total Points
562,http://dbpedia.org/property/rev12score,rev12Score
563,http://dbpedia.org/property/rev13score,rev13Score
564,http://dbpedia.org/ontology/notableWork,notable work
565,http://dbpedia.org/ontology/majorShrine,major shrine
566,http://dbpedia.org/ontology/restingPlace,resting place
567,http://dbpedia.org/ontology/deathYear,death year
568,http://dbpedia.org/ontology/imdbId,IMDB id
569,http://dbpedia.org/ontology/award,award
570,http://dbpedia.org/ontology/illustrator,illustrator
571,http://dbpedia.org/ontology/relative,relative
572,http://dbpedia.org/property/seriest,seriesT
573,http://dbpedia.org/property/shortsummary,ShortSummary
574,http://dbpedia.org/property/start4s,start4S
575,http://dbpedia.org/property/start5s,start5S
576,http://dbpedia.org/property/start6s,start6S
577,http://dbpedia.org/property/allreleased,allreleased
578,http://dbpedia.org/property/aux3t,Aux3T
579,http://dbpedia.org/property/aux1t,aux1T
580,http://dbpedia.org/property/aux2t,aux2T
581,http://dbpedia.org/property/auxa,auxA
582,http://dbpedia.org/property/linecolor,LineColor
583,http://dbpedia.org/property/linkt,linkT
584,http://dbpedia.org/property/notes,notes
585,http://dbpedia.org/property/presenter,presenter
586,http://dbpedia.org/property/seasont,seasonT
587,http://dbpedia.org/property/start,start
588,http://dbpedia.org/property/state,state
589,http://dbpedia.org/property/year,year
590,http://dbpedia.org/property/holder,holder
591,http://dbpedia.org/property/auxa4s,auxA4S
592,http://dbpedia.org/property/auxa5s,auxA5S
